prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";"Choix 7";"Choix 8	";password;pseudo;"profile picture";"birth date";adress
Corinne;Gros;CorinneGros@cy-tech.fr;30;"15	758";"IAC ";"VISUA ";"BI ";"INEM ";"CS ";"IAP ";"HPDA ";ICC;C-tpQ-;Corinne.Gros;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;30;"15	746";"CS ";"ICC ";"IAC ";"INEM ";"HPDA ";"IAP ";"VISUA ";BI;r0Chfy;Isabelle.Dijoux;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;30;"15	715";"IAC ";"CS ";"VISUA ";"IAP ";"INEM ";"BI ";"ICC ";HPDA;uBYCY5;Dominique.Gaillard;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;30;"15	709";"VISUA ";"BI ";"IAC ";"CS ";"INEM ";"ICC ";"IAP ";HPDA;qmQmtf;Pénélope.Ribeiro;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;
Benjamin;Masson;BenjaminMasson@cy-tech.fr;30;"15	623";"IAC ";"IAP ";"CS ";"BI ";"INEM ";"VISUA ";"ICC ";HPDA;6_cBWn;Benjamin.Masson;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;30;"15	575";"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"BI ";"ICC ";VISUA;eIh&q4;Georges.Bonnet;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;
David;Louis;DavidLouis@cy-tech.fr;30;"15	55";"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";"BI ";IAP;6ifcax;David.Louis;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;
Andrée;Rocher;AndréeRocher@cy-tech.fr;30;"15	535";"IAC ";"CS ";"IAP ";"VISUA ";"INEM ";"HPDA ";"ICC ";BI;48MJ6E;Andrée.Rocher;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;
Gérard;Guerin;GérardGuerin@cy-tech.fr;30;"15	527";"IAP ";"HPDA ";"IAC ";"ICC ";"INEM ";"VISUA ";"CS ";BI;S70zCv;Gérard.Guerin;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;
